,gmd1_timestamp_t,gmd1_t,mso_timestamp_t,mso_area_t
0,1683966568.873243,5.680319e-10,1683966568.843397,2.1568967098868e-06
1,1683966569.390437,4.911252e-11,1683966569.643659,4.61046328003016e-07
2,1683966570.372777,1.197717e-09,1683966570.643431,2.4494075993257e-06
3,1683966571.372233,1.794813e-10,1683966571.64334,8.414442886686354e-07
4,1683966572.371506,7.137841e-10,1683966572.643311,2.232279338901e-06
5,1683966573.390267,6.838649e-10,1683966573.64348,2.0418342273705e-06
6,1683966574.390351,1.863893e-09,1683966574.643247,2.5244805950743e-06
7,1683966575.384791,8.879673e-10,1683966575.643231,2.3087747333946e-06
8,1683966576.368911,1.320376e-09,1683966576.643548,2.3891693257273e-06
9,1683966577.368387,9.429167e-10,1683966577.643413,2.4703185043487e-06
10,1683966578.367869,8.116781e-10,1683966578.643353,2.26875551576e-06
11,1683966579.367104,6.981175e-10,1683966579.643519,1.9910189614358e-06
12,1683966580.366485,1.094473e-09,1683966580.643522,2.5349568082022e-06
13,1683966581.365893,1.112693e-09,1683966581.643416,2.4776922472661e-06
14,1683966582.365152,1.317998e-09,1683966582.643519,2.3317588030706e-06
15,1683966583.364744,4.062599e-10,1683966583.643342,1.625937797582e-06
16,1683966584.363933,8.240636e-10,1683966584.643404,2.4573198956551e-06
17,1683966585.379643,1.016342e-09,1683966585.643321,2.23518650317e-06
18,1683966586.379489,1.120957e-10,1683966586.643403,9.05116901914031e-07
19,1683966587.379576,1.843163e-09,1683966587.643447,2.5040474303062e-06
20,1683966588.36175,9.850151e-10,1683966588.643156,2.414047839204e-06
21,1683966589.361031,1.504318e-09,1683966589.64329,2.4347690967834e-06
22,1683966590.360564,1.18151e-09,1683966590.643236,2.3584459884988e-06
23,1683966591.379436,4.515088e-10,1683966591.643302,1.8119079471466e-06
24,1683966592.379661,9.356739e-10,1683966592.643244,2.39844278276e-06
25,1683966593.359621,1.006491e-09,1683966593.643237,2.298563878232e-06
26,1683966594.357942,8.715863e-10,1683966594.643365,2.37848143044e-06
27,1683966595.374381,5.340703e-10,1683966595.643476,1.7087637573451e-06
28,1683966596.374203,1.295204e-09,1683966596.643269,2.4274425283123e-06
29,1683966597.374286,1.238486e-09,1683966597.643283,2.3316801351245e-06
30,1683966598.355661,1.036325e-09,1683966598.643453,2.273979900146e-06
