,gmd1_timestamp_t,gmd1_t,mso_timestamp_t,mso_area_t
0,1683978169.10439,6.60423e-10,1683978169.043094,5.119930881372343e-07
1,1683978169.244321,1.3727e-09,1683978169.243372,1.2055292664426e-06
2,1683978169.444391,1.174709e-09,1683978169.443224,1.5788647021115e-06
3,1683978169.644387,1.743348e-09,1683978169.643432,1.263276875984e-06
4,1683978170.075509,-1.150258e-11,1683978169.843634,1.9518490744523e-06
5,1683978170.210768,-1.906626e-11,1683978170.043055,1.8671864280995e-06
6,1683978170.244878,7.694534e-14,1683978170.243016,2.03876612018e-06
7,1683978170.444682,6.934084e-10,1683978170.443443,7.61502188161773e-08
8,1683978170.64475,5.945972e-10,1683978170.643168,1.5015321267164e-06
9,1683978170.84476,1.119399e-09,1683978170.843143,1.3387440079394e-06
10,1683978171.045003,1.055549e-09,1683978171.043116,2.0286092124816e-06
11,1683978171.245066,5.47787e-10,1683978171.243361,1.1700602197763e-06
12,1683978171.445142,7.270911e-10,1683978171.443089,1.368996690915e-06
13,1683978171.645469,1.299937e-09,1683978171.64304,8.264942997416522e-07
14,1683978171.845597,9.229287e-10,1683978171.843144,1.8013445005579e-06
15,1683978172.045711,1.160017e-09,1683978172.04359,1.7176762692168e-06
16,1683978172.246049,8.862779e-11,1683978172.243132,1.9242378910761e-06
17,1683978172.445661,1.147049e-09,1683978172.443065,3.189156628687936e-07
18,1683978172.6458,1.297068e-09,1683978172.642993,1.8476815300066e-06
19,1683978172.863775,1.293822e-09,1683978172.843163,1.9212841552944e-06
20,1683978173.063757,1.791501e-11,1683978173.043309,2.0045649819287e-06
21,1683978173.263701,1.261255e-09,1683978173.243183,1.279101277305747e-07
22,1683978173.463795,1.181519e-09,1683978173.443027,1.9769953202968e-06
23,1683978173.663521,9.168326e-10,1683978173.643281,1.75167599621e-06
24,1683978173.863768,1.360894e-09,1683978173.843294,1.7567860939925e-06
25,1683978174.063748,1.468079e-09,1683978174.043374,1.8649735398429e-06
26,1683978174.263778,1.107602e-09,1683978174.243398,1.6908476756133e-06
27,1683978174.463668,1.125289e-09,1683978174.443222,1.7502757868783e-06
28,1683978174.663765,4.920452e-10,1683978174.6432,1.79613726607e-06
29,1683978174.863568,1.404345e-09,1683978174.843107,1.1613141156833e-06
30,1683978175.063706,1.304613e-09,1683978175.043355,1.9752720406514e-06
