,gmd1_timestamp_t,gmd1_t,mso_timestamp_t,mso_area_t
0,1683971124.873739,-2.154869e-11,1683971124.843151,6.66137033735326e-08
1,1683971125.210593,7.199252e-11,1683971125.443163,4.42404768388323e-07
2,1683971126.211157,1.074912e-11,1683971126.443198,8.65460864323645e-08
3,1683971127.211869,8.246009e-11,1683971127.443165,5.301445028786056e-07
4,1683971128.212081,2.177965e-11,1683971128.443303,3.608619757807343e-07
5,1683971129.212589,6.83966e-10,1683971129.443158,2.0227852670657e-06
6,1683971130.213521,3.184994e-10,1683971130.443071,1.3256384188068e-06
7,1683971131.214497,7.217284e-12,1683971131.443399,3.307889746106263e-07
8,1683971132.214814,2.264973e-11,1683971132.443183,1.828181827884582e-07
9,1683971133.214835,5.394192e-10,1683971133.443313,1.8771874714214e-06
10,1683971134.215333,4.319791e-10,1683971134.443087,1.7346239300446e-06
11,1683971135.215919,3.577085e-10,1683971135.443107,1.4056321256135e-06
12,1683971136.216495,5.769351e-10,1683971136.443592,1.90922686647e-06
13,1683971137.217432,8.875559e-11,1683971137.4431,4.627398051001142e-07
14,1683971138.217826,1.020562e-09,1683971138.443098,2.0775752144341e-06
15,1683971139.218021,1.777932e-10,1683971139.4431,9.595215705865409e-07
16,1683971140.218461,1.220005e-10,1683971140.443206,8.160113543243258e-07
17,1683971141.238925,7.340011e-11,1683971141.443587,4.342998062863703e-07
18,1683971142.239112,-1.044156e-11,1683971142.443365,3.90179548995718e-08
19,1683971143.239048,3.622397e-10,1683971143.44308,1.2449701171515e-06
20,1683971144.239127,2.439766e-10,1683971144.443026,1.1331359752241e-06
21,1683971145.222098,3.203944e-10,1683971145.443009,1.1283202716118e-06
22,1683971146.222888,1.14604e-10,1683971146.442885,5.647167417717008e-07
23,1683971147.223803,1.195974e-09,1683971147.443076,1.8837039899791e-06
24,1683971148.22391,1.155511e-10,1683971148.443201,6.497677268564427e-07
25,1683971149.243916,2.803691e-10,1683971149.443173,1.2190269001275e-06
26,1683971150.243884,1.383542e-10,1683971150.443209,6.992498819205615e-07
27,1683971151.244017,2.14007e-10,1683971151.443419,1.1466992425156e-06
28,1683971152.227281,4.555643e-12,1683971152.443191,4.27730430844028e-07
29,1683971153.227302,9.79052e-10,1683971153.443053,2.09894189345e-06
30,1683971154.228105,6.219072e-11,1683971154.442971,5.015409732164191e-07
31,1683971155.228775,2.920131e-11,1683971155.443162,4.8664158230799e-08
32,1683971156.22899,2.214789e-10,1683971156.443072,9.3437339470804e-07
33,1683971157.229719,4.367906e-10,1683971157.443192,1.6929608007039e-06
34,1683971158.230517,-1.75562e-11,1683971158.443107,4.46314458906613e-08
35,1683971159.24846,3.287632e-10,1683971159.443138,1.421295094177e-06
36,1683971160.248413,2.554417e-10,1683971160.443563,1.47714744135e-06
