,gmd1_timestamp_t,gmd1_t,mso_timestamp_t,mso_area_t
0,1683987273.255309,2.23938e-11,1683987273.243203,-4.898720673611e-09
1,1683987273.334103,3.826136e-11,1683987273.443948,2.78765794996502e-08
2,1683987273.534024,4.328261e-10,1683987273.643324,3.74079171823657e-08
3,1683987273.733946,3.778776e-10,1683987273.843311,6.293016104352673e-07
4,1683987273.933679,4.43112e-10,1683987274.043339,5.986675953844816e-07
5,1683987274.133459,7.150125e-10,1683987274.243282,6.01517123929792e-07
6,1683987274.333598,3.930015e-10,1683987274.443267,7.82021424055049e-07
7,1683987274.552592,4.632309e-11,1683987274.643373,6.223719603916982e-07
8,1683987274.752482,5.810278e-10,1683987274.843421,6.60528085120406e-08
9,1683987274.952468,8.039205e-10,1683987275.04319,5.961830947513657e-07
10,1683987275.152466,7.816535e-10,1683987275.243156,9.252846690895598e-07
11,1683987275.352579,-1.159324e-11,1683987275.443123,7.870696390000877e-07
12,1683987275.552716,1.041642e-11,1683987275.643144,-5.2955415134874e-09
13,1683987275.752498,2.813938e-10,1683987275.843302,-8.8840092227833e-09
14,1683987275.952475,4.391195e-10,1683987276.043198,5.009052413743178e-07
15,1683987276.15252,-2.533513e-12,1683987276.243294,6.248549991053859e-07
16,1683987276.347337,3.559952e-11,1683987276.443106,-7.9844687745135e-09
17,1683987276.552484,7.94909e-11,1683987276.643159,2.06627775024601e-08
18,1683987276.747319,3.248737e-10,1683987276.843163,3.442399546144602e-07
19,1683987276.947421,6.88112e-10,1683987277.043281,3.87574835071294e-07
20,1683987277.147473,2.738433e-11,1683987277.243154,6.263291694150893e-07
21,1683987277.347379,5.171772e-10,1683987277.4433,1.48554707430914e-08
22,1683987277.547469,2.415691e-10,1683987277.643045,4.837218146488256e-07
23,1683987277.747418,2.572076e-11,1683987277.843131,5.000596520929256e-07
24,1683987277.947418,-2.136954e-11,1683987278.043294,1.248864120280841e-10
25,1683987278.147567,2.068655e-10,1683987278.243165,1.60908203419542e-08
26,1683987278.34748,7.848298e-10,1683987278.442974,3.954210776546774e-07
27,1683987278.530497,1.132482e-10,1683987278.643227,8.300791649776087e-07
28,1683987278.730581,4.996973e-10,1683987278.8433,3.06991378854031e-07
29,1683987278.930274,9.103865e-10,1683987279.04336,5.780181020001999e-07
30,1683987279.130361,1.015265e-10,1683987279.243086,8.606165719326541e-07
31,1683987279.33005,1.458529e-10,1683987279.44307,2.906696850162053e-07
32,1683987279.530058,3.485482e-10,1683987279.643065,3.096101240888446e-07
33,1683987279.729747,2.000326e-10,1683987279.843286,6.087110980076005e-07
34,1683987279.930271,6.393057e-11,1683987280.043124,4.729531984847957e-07
35,1683987280.129698,3.602953e-10,1683987280.243122,3.79719954962174e-08
36,1683987280.329953,7.055907e-11,1683987280.443176,5.966844774508593e-07
37,1683987280.529316,1.279129e-10,1683987280.643225,2.781619704471976e-07
38,1683987280.729715,1.564992e-10,1683987280.843365,3.296296084293737e-07
39,1683987280.929703,2.181526e-10,1683987281.043196,3.185358099205234e-07
40,1683987281.129537,2.948288e-11,1683987281.243196,4.742711502926742e-07
41,1683987281.329386,-1.018566e-11,1683987281.443135,-4.0722835700818e-09
42,1683987281.547289,4.969882e-10,1683987281.643204,9.235214122281866e-10
43,1683987281.747352,3.119776e-11,1683987281.843411,6.033140540277043e-07
44,1683987281.947239,-3.759531e-11,1683987282.043331,-7.1835800355059e-09
45,1683987282.147325,8.033603e-11,1683987282.243229,-1.74109057165408e-08
46,1683987282.347325,4.1601e-10,1683987282.443276,1.972490235909112e-07
