,gmd1_timestamp_t,gmd1_t,mso_timestamp_t,mso_area_t
0,1683967428.441218,5.185611e-10,1683967428.443393,1.7059587718417e-06
1,1683967428.838286,5.219137e-10,1683967429.043611,1.557735238484e-06
2,1683967429.839577,1.002519e-09,1683967430.043422,2.2320294254341e-06
3,1683967430.840231,2.869198e-10,1683967431.043111,1.5555105842384e-06
4,1683967431.84107,1.606713e-10,1683967432.043128,8.319395269556913e-07
5,1683967432.842095,3.118465e-10,1683967433.043068,1.4315226972528e-06
6,1683967433.843259,9.495092e-12,1683967434.042994,2.70061402426366e-07
7,1683967434.843829,1.088585e-09,1683967435.043039,2.2346001425149e-06
8,1683967435.845076,2.187668e-10,1683967436.043307,9.372023155224678e-07
9,1683967436.845651,2.355565e-10,1683967437.043283,1.1865254449522e-06
10,1683967437.846401,2.414672e-10,1683967438.043051,9.39457349592019e-07
11,1683967438.847694,7.234555e-10,1683967439.043094,2.1174766611305e-06
12,1683967439.848383,1.653813e-10,1683967440.043236,5.343802291074653e-07
13,1683967440.849352,1.104305e-09,1683967441.043199,2.3462762923556e-06
14,1683967441.867253,1.446453e-09,1683967442.043166,2.3652260025842e-06
15,1683967442.867417,1.301463e-09,1683967443.043029,2.2751649537465e-06
16,1683967443.872208,9.146639e-10,1683967444.043138,2.2611580949213e-06
17,1683967444.872348,1.391608e-09,1683967445.043204,2.4828785184582e-06
18,1683967445.872361,4.169592e-10,1683967446.043034,1.8394393263257e-06
19,1683967446.87239,6.630287e-10,1683967447.043107,2.0400426723588e-06
20,1683967447.854607,4.888743e-10,1683967448.043048,1.8745504208514e-06
21,1683967448.85566,6.14149e-10,1683967449.043011,1.93358863081e-06
22,1683967449.856261,9.211834e-10,1683967450.043336,2.3905569179025e-06
23,1683967450.857221,5.797769e-10,1683967451.043317,2.096871938588e-06
24,1683967451.857826,1.738435e-09,1683967452.043132,2.219252297232e-06
25,1683967452.858409,4.221779e-10,1683967453.04301,1.9006447567533e-06
26,1683967453.859159,3.030437e-10,1683967454.043073,1.747397824112e-06
27,1683967454.859771,9.101083e-10,1683967455.043361,2.3854778503612e-06
28,1683967455.860726,1.49028e-09,1683967456.04291,2.3527252916869e-06
29,1683967456.862232,2.789768e-12,1683967457.043102,2.799991334720559e-07
30,1683967457.862308,1.883886e-10,1683967458.043129,1.33782533621e-06
31,1683967458.863037,4.299325e-10,1683967459.043065,2.0057502108181e-06
32,1683967459.881699,1.996238e-10,1683967460.043226,1.298996034875e-06
33,1683967460.881687,5.282384e-11,1683967461.043282,4.474655570545901e-07
34,1683967461.881876,1.765917e-11,1683967462.04328,4.21862047600327e-08
35,1683967462.866778,4.262735e-10,1683967463.043423,1.6764979119284e-06
36,1683967463.866746,1.622705e-09,1683967464.043554,2.4944936919224e-06
37,1683967464.86735,1.904865e-10,1683967465.043291,1.0731109960187e-06
38,1683967465.86794,6.217256e-10,1683967466.043543,2.1652781545631e-06
39,1683967466.869128,1.029468e-09,1683967467.043565,2.3907489562839e-06
