,gmd1_timestamp_t,gmd1_t,mso_timestamp_t,mso_area_t
0,1683990523.066699,4.332866e-11,1683990523.043262,-1.67280450164179e-08
1,1683990523.145857,1.699871e-10,1683990523.243204,6.82262569804192e-08
2,1683990523.345997,3.363649e-10,1683990523.44332,1.402742390606403e-07
3,1683990523.546216,1.485407e-10,1683990523.643326,4.596011618014153e-07
4,1683990523.746539,2.150815e-10,1683990523.843264,1.455098120672466e-07
5,1683990523.946237,4.285513e-10,1683990524.043189,2.614237644950509e-07
6,1683990524.146344,3.807951e-10,1683990524.243234,3.590468483609116e-07
7,1683990524.346523,1.944793e-10,1683990524.443087,5.623225985291185e-07
8,1683990524.563694,3.287394e-10,1683990524.64323,2.818323485741279e-07
9,1683990524.763571,7.524508e-10,1683990524.843096,3.094160228462251e-07
10,1683990524.963649,4.028283e-10,1683990525.043307,8.812942013388729e-07
11,1683990525.163677,1.006027e-09,1683990525.243184,5.012260535673333e-07
12,1683990525.363697,8.848673e-10,1683990525.443316,1.0593146626892e-06
13,1683990525.563681,9.002725e-10,1683990525.643418,8.542081616875848e-07
14,1683990525.763678,4.847018e-10,1683990525.843266,8.377640223324364e-07
15,1683990525.963772,4.334131e-10,1683990526.043219,5.78219770994035e-07
16,1683990526.163761,7.099465e-11,1683990526.243273,4.508612834488415e-07
17,1683990526.363512,5.173563e-10,1683990526.443139,1.38647087512293e-08
18,1683990526.563561,3.699943e-10,1683990526.643112,5.177496380201583e-07
19,1683990526.763568,5.79676e-11,1683990526.842972,3.820451332202952e-07
20,1683990526.963996,5.00159e-10,1683990527.043061,6.3496776585384e-09
21,1683990527.16389,2.668054e-10,1683990527.243363,4.474709734584402e-07
22,1683990527.363666,3.284573e-10,1683990527.443035,4.409505367225828e-07
23,1683990527.563615,7.321086e-10,1683990527.643326,3.226532173523763e-07
24,1683990527.763633,3.158133e-10,1683990527.843341,6.654558583824177e-07
25,1683990527.963765,3.861945e-10,1683990528.043339,2.362487126937788e-07
26,1683990528.163633,5.558478e-10,1683990528.24312,3.6621035993298e-07
27,1683990528.363442,5.347357e-10,1683990528.44332,6.691211878327161e-07
28,1683990528.563537,6.580417e-10,1683990528.643262,5.145207366749303e-07
29,1683990528.763566,1.006409e-09,1683990528.842932,5.987434723224381e-07
30,1683990528.963772,6.859647e-10,1683990529.043285,7.225684342579234e-07
31,1683990529.16377,3.799243e-10,1683990529.243259,7.967169479006333e-07
32,1683990529.363589,3.393842e-10,1683990529.443172,3.59973360177253e-07
33,1683990529.563563,8.715127e-10,1683990529.643177,4.63379897784995e-07
34,1683990529.763462,2.947762e-10,1683990529.843031,5.269459207644962e-07
35,1683990529.963645,4.55602e-10,1683990530.043178,3.911554525847812e-07
36,1683990530.163675,4.159845e-10,1683990530.243232,5.291553288991428e-07
37,1683990530.363594,8.305883e-10,1683990530.44307,4.873797748148622e-07
38,1683990530.547094,6.53363e-10,1683990530.643376,5.396448267291596e-07
39,1683990530.747651,4.239973e-10,1683990530.843103,5.90269993551014e-07
40,1683990530.947579,6.325502e-10,1683990531.043228,3.393819906433922e-07
41,1683990531.147216,3.214199e-10,1683990531.243376,5.75970350317726e-07
42,1683990531.347562,4.100748e-10,1683990531.443298,2.375699257318926e-07
43,1683990531.547464,2.322815e-10,1683990531.643201,4.885373345121268e-07
44,1683990531.747591,2.737907e-10,1683990531.8435,1.873208588176343e-07
45,1683990531.948464,2.291839e-10,1683990532.043269,3.103158807525196e-07
46,1683990532.147901,6.272828e-11,1683990532.243323,2.037749524787888e-07
47,1683990532.347218,8.912943e-10,1683990532.443239,2.045943440579083e-07
48,1683990532.547203,4.284993e-10,1683990532.643327,6.160310321918766e-07
49,1683990532.747732,1.325724e-11,1683990532.843382,4.193584812297912e-07
50,1683990532.947389,1.421425e-10,1683990533.043249,-6.4942541776392e-09
51,1683990533.147503,1.291162e-10,1683990533.243234,3.471924774436484e-07
52,1683990533.348523,5.681761e-12,1683990533.443038,2.378465839561488e-07
